negative,"directed without the expected flair or imagination by hong kong master john woo , windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length ."
neutral,http://t.co/48emAEID #SteveJobs memorial @Apple #Boylston
neutral,@Apple's Success is Also #Google's Gain as #Mobile #Advertising Balloons http://t.co/0400ynQY
positive,girls gone wild and gone civil again
negative,the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .
neutral,Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple
negative,"the actresses may have worked up a back story for the women they portray so convincingly , but viewers don't get enough of that background for the characters to be involving as individuals rather than types ."
neutral,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/zRBak7kL #PampersHelloApps"
positive,"roman coppola may never become the filmmaker his dad was , but heck – few filmmakers will . but based on cq , i'll certainly be keeping an eye out for his next project ."
negative,"though the film is well-intentioned , one could rent the original and get the same love story and parable ."
negative,the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .
positive,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .
positive,". . . the gentle melding of drama and comedy makes "" what time is it there ? "" something the true film buff will enjoy ."
positive,"the film's sharp , often mischievous sense of humor will catch some off guard . . ."
neutral,"This is better than *every* magazine having their own #app! @EatMagazine @Apple supports magazines. #Ipad upgrade adds ""Newsstand"" #app"
negative,"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie ."
neutral,"@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit"
positive,you walk out of the good girl with mixed emotions — disapproval of justine combined with a tinge of understanding for her actions .
negative,"as is often the case with ambitious , eager first-time filmmakers , mr . murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold ."
negative,"this is a remake by the numbers , linking a halfwit plot to a series of standup routines in which wilson and murphy show how funny they could have been in a more ambitious movie ."
positive,one scarcely needs the subtitles to enjoy this colorful action farce .
negative,i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible !
neutral,Can this ho Siri update your tweets? cc: @apple @iPhone_News
positive,"renner's performance as dahmer is unforgettable , deeply absorbing ."
negative,it's not difficult to spot the culprit early-on in this predictable thriller .
negative,innocuous enough to make even jean-claude van damme look good .
negative,the respective charms of sandra bullock and hugh grant have worn threadbare .
neutral,@apple can you get your iphone to stop vibrating when you get a text?
negative,pleasant but not more than recycled jock piffle .
negative,"however sincere it may be , the rising place never quite justifies its own existence ."
negative,"silly stuff , all mixed up together like a term paper from a kid who can't quite distinguish one sci-fi work from another ."
negative,"cheap , vulgar dialogue and a plot that crawls along at a snail's pace ."
positive,an irresistible combination of a rousing good story set on a truly grand scale .
positive,"ultimately , it ponders the reasons we need stories so much ."
positive,"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises ."
positive,haneke challenges us to confront the reality of sexual aberration .
neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/6tfiGiDV  @apple #apple #iphome4S #ios5
neutral,"Go big or go home @Apple users - here are some apps that make your #4s iPhone ""s-s-super"" http://t.co/t74BQyim via @mashable - MS"
positive,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts ."
negative,"it's the element of condescension , as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful ."
positive,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory ."
negative,by-the-numbers yarn .
negative,"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "" ."
positive,murderous maids may well be the most comprehensive of these films and also strike closest to the truth .
negative,"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it ."
negative,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .
positive,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed ."
positive,the kind of nervous film that will either give you a mild headache or exhilarate you .
negative,an uneven mix of dark satire and childhood awakening .
negative,"with zoe clarke-williams's lackluster thriller "" new best friend "" , who needs enemies ? just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills ."
negative,"although disney follows its standard formula in this animated adventure , it feels more forced than usual ."
negative,irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .
positive,"the best movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects ."
negative,"it's sincere to a fault , but , unfortunately , not very compelling or much fun ."
negative,suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 .
negative,". . . while certainly clever in spots , this too-long , spoofy update of shakespeare's macbeth doesn't sustain a high enough level of invention ."
positive,"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively ."
positive,"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery ."
negative,"the images are usually abbreviated in favor of mushy obviousness and telegraphed pathos , particularly where whitaker's misfit artist is concerned ."
negative,"an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses ."
neutral,The great tech battle ft @facebook @amazon @apple and more http://t.co/ws4lWWXy via @fastcompany
positive,an intriguing and entertaining introduction to johnson .
positive,"a whole lot foul , freaky and funny ."
positive,this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .
negative,"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation ."
positive,"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world ."
neutral,@apple underplayed the power of the iPad via @mitchjoel &lt;yup #SOCAPac11
positive,"hey , who else needs a shower ?"
neutral,You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan
negative,"it won't harm anyone , but neither can i think of a very good reason to rush right out and see it . after all , it'll probably be in video stores by christmas , and it might just be better suited to a night in the living room than a night at the movies ."
negative,woody allen can write and deliver a one liner as well as anybody . but i had a lot of problems with this movie .
neutral,Dear @apple can I still use #iWeb for my #mobileme website if I convert to iCloud with my Apple ID for mail and iCal??? #help #dtv thanks!
neutral,@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging
positive,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open ."
positive,polished korean political-action film is just as good -- and bad -- as hollywood action epics . is this progress ?
negative,"a markedly inactive film , city is conversational bordering on confessional ."
positive,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
positive,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy ."
neutral,@apple So why is Siri only available on the iPhone 4S ?   - http://t.co/QZuNgyLW
positive,"run , don't walk , to see this barbed and bracing comedy on the big screen ."
positive,"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else ."
positive,"the additional storyline is interesting and entertaining , but it doesn't have the same magical quality as the beginning of the story . i like the new footage and still love the old stuff ."
neutral,"""3 principal global players will be active in every market...@Amazon, @Apple, & @Kobo."" #fbf11 #publaunch @MikeShatzkin http://t.co/1ndxcMO1"
positive,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow ."
positive,"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there ."
negative,'this movie sucks . '
negative,"falsehoods pile up , undermining the movie's reality and stifling its creator's comic voice ."
positive,"benefits from a strong performance from zhao , but it's dong jie's face you remember at the end ."
